,perid,tournament_perid,datetime,fmt,box,forfeit,loser,loser_score,winner,winner_score,date
28082,esports:match:e6d6bb16-9d5d-43ff-bf74-0fcd5a8e5f76,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-01 16:00:00+00:00,bestOf,1,0,Linx Legacy Esport,0.0,Team ESCA Gaming,1.0,2022-06-01
28067,esports:match:6911650e-9c33-49e4-adca-5b23df017ff1,esports:tournament:87ef1fc6-7450-4fa9-ad44-a3e80d20fd29,2022-06-02 19:00:00+00:00,bestOf,1,0,Team Spirit Academy,0.0,00Nation Prospects,1.0,2022-06-02
28088,esports:match:b143bf1f-7599-463a-9ebd-a1b04883bf9c,esports:tournament:87ef1fc6-7450-4fa9-ad44-a3e80d20fd29,2022-06-02 16:20:00+00:00,bestOf,1,0,Apeks Rebels,0.0,Young Ninjas,1.0,2022-06-02
28077,esports:match:94870f5c-5d14-4f01-98a1-43d4c4ef66b8,esports:tournament:87ef1fc6-7450-4fa9-ad44-a3e80d20fd29,2022-06-02 20:20:00+00:00,bestOf,1,0,Og Academy,0.0,Fnatic Rising,1.0,2022-06-02
28921,esports:match:b68a225d-3ee1-44be-9d5e-5210875d6aeb,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 14:00:00+00:00,bestOf,1,0,HONORIS,0.0,VP.Prodigy,1.0,2022-06-02
28085,esports:match:c99c853a-2399-4448-897b-eacb9e4ef7ef,esports:tournament:87ef1fc6-7450-4fa9-ad44-a3e80d20fd29,2022-06-02 15:00:00+00:00,bestOf,1,0,Natus Vincere Junior,0.0,BIG Academy,1.0,2022-06-02
28032,esports:match:e4c23f49-d1d8-4bf2-91e7-fd3eede7d094,esports:tournament:7d010594-2c42-4144-9f35-5a6deef37d60,2022-06-02 19:00:00+00:00,bestOf,3,0,Panthers Esports,1.0,GTZ Bulls Esports,2.0,2022-06-02
28069,esports:match:8e99f865-d463-4528-8bd4-7852d946cdd2,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 17:00:00+00:00,bestOf,1,0,Nenka,0.0,Conquer Gaming,1.0,2022-06-02
27858,esports:match:88e3b9ef-7c78-4911-8c81-618216516502,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 18:00:00+00:00,bestOf,1,0,Ungentium,0.0,Wolsung,1.0,2022-06-02
27472,esports:match:7b172f46-77a9-45eb-98ad-2f2780781642,esports:tournament:75e31ae7-7524-4665-ac16-bb89a057f313,2022-06-02 13:00:00+00:00,bestOf,3,False,Esports Club Kyiv,0.0,Ex-Mad Lions,2.0,2022-06-02
27896,esports:match:eb5dbda0-55f7-4db5-b616-8edecd021ce8,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 17:00:00+00:00,bestOf,1,0,Masonic,0.0,BIG Academy,1.0,2022-06-02
27840,esports:match:0199ca29-3377-480c-8675-2127a67afed1,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-02 01:00:00+00:00,bestOf,1,0,GrippindatToolie,0.0,Millennium 7,1.0,2022-06-02
